1: R' B L2 F2 D L2 D2 L' 
2: F2 R2 B U2 D L R2 D 
3: B L2 R' F2 D L2 D2 L' 
4: U2 R' F2 B L D L' D2 L2 
5: U' D B' U' B R2 B2 L' D 
6: U' B' U' D B R2 B2 L' D 
7: U' B' U' B D R2 B2 L' D 
8: D F2 R2 B D L F2 R' D 
9: D' R' F' L2 F2 U2 F D' L 
10: L2 U B R2 F2 R U' B D' 
11: L2 R F' B2 R2 D L2 D2 L 
12: R2 F2 B U2 F' D L R2 D 
13: R' U' R F2 R2 B D L D 
14: R' U' B D F2 U L2 D2 L' 
15: R' U' B L D F2 L' D2 L2 
16: R' U' B L2 D F2 L2 D2 L' 
17: R' U' B R F2 R2 D L D 
18: R' U' B' R2 F2 U' B2 D2 L' 
19: R' F2 D' F2 L2 F' D' F' L 
20: R' F2 D' F' L2 F' D' F2 L 
21: R' F' L2 F2 U2 F D' L R2 
22: R' B U' D F2 U L2 D2 L' 
23: R' B U' L D F2 L' D2 L2 
24: R' B U' L2 D F2 L2 D2 L' 
25: R' B U' R F2 R2 D L D 
26: R' B L2 U B2 U2 F2 D' L 
27: R' B L2 B2 U2 F2 D' L R2 
28: F R2 B U2 F D L R2 D 
29: F2 U2 B' L R2 B2 D L R 
30: F2 D B' U' L U' R2 D L2 
31: F2 R2 D2 B D L2 D2 L' D 
32: F2 R2 D2 B D' L D2 L D' 
33: F2 R2 F2 B U' F2 D L D 
34: F2 R2 F2 B D' R' U D' B2 
35: F2 R2 B U D L U R2 D 
36: F2 R2 B U D2 B2 D' L D 
37: F2 R2 B D L F2 R' F2 D 
38: F2 B U' D B2 L U' R2 D 
39: F2 B U' D B2 L D' F2 D2 
40: F2 B R2 U' D L U' R2 D 
41: F2 B R2 U' D L D' F2 D2 
42: F2 B' R2 U D L R D B2 
43: B U D' L2 R2 F2 R D' B2 
44: B U D' B2 R U F2 L2 R2 
45: B U2 R' F2 L D L' D2 L2 
46: B D' L' U' L' R' D2 B2 D 
47: B L U2 L R' D L2 D2 L' 
48: B L2 U D' R U F2 L2 R2 
49: B L2 U B2 U R' F2 D' L2 
50: B L2 R U B2 U' R2 D' L' 
51: B L2 R U B2 D' F2 U' L' 
52: B L2 R' U B2 U2 F2 D' L 
53: B L2 R' B2 U2 F2 D' L R2 
54: B R' U' D F2 U L2 D2 L' 
55: B R' U' L D F2 L' D2 L2 
56: B R' U' L2 D F2 L2 D2 L' 
57: B R' U' R F2 R2 D L D 
58: B' U2 F2 L R2 D' L' D2 L2 
59: B' D' L' U' L' R' U2 F2 D' 
60: B' L2 U R B R2 F2 B D' 
61: B' L' U L' R' F2 D L2 D2 
62: B' L' U' L' R' U2 F2 D' R2 
63: B' R U D2 L2 F2 B2 U2 L' 
64: B' R U L2 F2 B2 U2 L' R2 
65: B' R B2 L2 R2 D L2 D2 L' 
66: B' R' B2 L2 F2 D L2 D2 L' 
67: U D B2 R D R2 F2 B' D' R2 
68: U D' L F U' F' L2 R' F2 D' 
69: U D' R' D' B' U' B' L U2 L2 
70: U D' B' R' F U' B L' F D' 
71: U L R U L2 F2 B' U' B2 R' 
72: U L F U' F' L2 R' F2 D' R' 
73: U L' R' F2 B' D L2 D2 B' R' 
74: U R D2 L U L2 F2 B' U' B2 
75: U F' L U R2 D' L' B R D2 
76: U B2 L' R D R2 F2 B' D' R' 
77: U B2 R D R2 F2 U' B' D' R2 
78: U B2 R D R2 F2 B U2 B2 D' 
79: U B2 R D R2 F2 B' U' D' R2 
80: U B2 R D R2 F2 B' D2 F2 D 
81: U B2 R' F2 D2 R2 F' D R2 B' 
82: U B' R' F2 B' D2 R D B' R' 
83: U2 D R' U2 B' U' R' B2 L' D 
84: U2 D F2 R2 B L' F2 L2 D L 
85: U2 D B D2 L U' R' D' B2 L 
86: U2 D B L U' D2 R' D' B2 L 
87: U2 D2 F' U L F' U' L2 U2 B 
88: U2 D' R' F' U L' D2 B2 D B' 
89: U2 D' F2 R D2 R B L D L 
90: U2 R' D B2 U2 B' R' D F2 L 
91: U2 R' B D2 R' D R F2 L2 F2 
92: U2 R' B D2 R' D F2 R F2 L2 
93: U2 R' B L D2 R' D' L' D2 L2 
94: U2 R' B' U' L2 F2 U2 L D' R2 
95: U2 F2 D' R D2 R B L D L 
96: U2 F2 L2 F' L' R2 D' L' D2 L2 
97: U2 F2 R D2 R B L D L R' 
98: U2 F2 R2 B L' F2 L2 D L R' 
99: U2 F' U D2 L F' U' L2 U2 B 
100: U2 B U2 R2 B2 U' F2 D L' D 
101: U2 B U' D' L R2 F2 R D' B2 
102: U2 B U' D' R F2 R2 U' L2 D' 
103: U2 B D2 L U' R' D' R B2 L 
104: U2 B L U' D2 R' D' B2 L R 
105: U2 B' U2 R U F D2 F B2 L' 
106: U2 B' U2 R U F D2 B2 L' F 
107: U2 B' U2 B2 R U' R F2 B2 D2 
108: U2 B' D2 F2 L2 D' R2 U' L' D 
109: U2 B' R U' B2 R D' L' F2 D' 
110: U2 B' R' U' L2 F2 U B2 L D' 
111: U' D2 B' U' D' B R2 B2 L' D 
112: U' D2 B' U' B D' R2 B2 L' D 
113: U' D2 B' U' B R2 B2 L' D R2 
114: U' D' F2 B D' B' D2 B2 L D 
115: U' D' B' U' B D2 R2 B2 L' D 
116: U' L F' U' F' D2 L2 F2 R' F 
117: U' L F' U' F' L' R2 D2 L' F' 
118: U' L F' U' F' L' R' D2 L' F 
119: U' L F' U' F' L' R' D2 F L' 
120: U' L' B' R2 F2 R F' D' R2 B' 
121: U' R F2 U' B2 R D' F D' L2 
122: U' R F' U' B2 R D2 L2 U B 
123: U' R F' U' B2 R' D2 L2 U' B 
124: U' R2 B D B L U' R2 D F2 
125: U' R' F U L' D L R2 D2 B' 
126: U' R' F U' L' D L F D2 L2 
