1: U L2 F R2 U' L2 D R B2 
2: U L' U2 D F2 B' U2 R B 
3: U L' U2 D B' R F2 U2 B 
4: U F' D' L B2 D2 B' U B 
5: U2 D R2 F2 L' B D' L B' 
6: U2 L' D B' U F2 R2 U2 B 
7: U' D2 F2 B' U L2 R U B2 
8: U' L D R' F2 B' U R B 
9: U' L D R' F2 B' R U B 
10: U' L D B' R' F2 R2 U B 
11: U' R2 D2 F2 B' U' R B2 L' 
12: D L' B U' D' L B' R F 
13: D L' B D' L U' B' R F 
14: L R2 U L' F' L2 D B R 
15: L2 U' D F2 B' R F2 U' B 
16: L2 D L' U' L B' U2 R B 
17: L2 D F B' U' B' R F' B2 
18: L2 R2 D F B U' R F' B2 
19: L2 B2 R' F B2 U D2 L' D' 
20: L' U L' R2 F' R2 D' L D2 
21: L' D' F' B' U F D2 R' F 
22: R' F U' L' R D' B' D2 F2 
23: F2 L2 F2 U' D B' R U' B 
24: F' U' L' D F2 B' R U2 B 
25: F' L2 R' F R D L U L' 
26: F' B2 U' B' L D L R F2 
27: F' B2 U' B' L D L F2 R 
28: B U2 R2 U' F L D' R' B2 
29: U D L2 F' L' U2 F2 R2 U L' 
30: U D F L U2 R' F' U F' L' 
31: U D F B2 R B R2 U' F B 
32: U D F B2 R B R2 F U' B 
33: U D F B' U2 R2 F R U' B 
34: U D F2 L U2 F' R' F' U L' 
35: U D F' D2 L B2 D2 B' U B 
36: U D F' L B2 R D2 B U B 
37: U D B2 U' B U R2 F R' B2 
38: U D B2 R B R2 F U' R' B 
39: U D B2 R B R2 F U' B R' 
40: U D B2 R2 F D2 R' B2 U' L' 
41: U D B2 R2 B R2 F R' U' B 
42: U D2 L U L' F2 B R2 F2 D' 
43: U D2 L U F2 L' B R2 F2 D' 
44: U D2 L2 U L' R2 B U D' B 
45: U D2 L2 U L' B U D' F2 B 
46: U D2 L2 U L' B R2 U D' B 
47: U D2 B D' L2 F R F2 L2 R2 
48: U D2 B D' R B2 R2 F B2 R' 
49: U D2 B D' R2 B2 R2 F R' B2 
50: U D2 B D' F R B2 R2 F B2 
51: U D' L' D2 B' R2 F U' R' B 
52: U D' L' D2 B' R2 F U' B R' 
53: U D' R2 F' L R2 B2 U D2 B 
54: U D' R' B' U2 B' U D2 L' R 
55: U D' R' B' U2 B' D2 R U L' 
56: U D' F L B2 D2 R' B2 U B 
57: U D' F B' U' L2 B' D2 R' B2 
58: U D' F' L U2 D R2 D F2 B' 
59: U D' F' L D' L2 U R2 D' B' 
60: U D' F' L R2 B2 R2 U D2 B 
61: U D' F' L B2 U2 D R2 D B' 
62: U L U L U2 R2 F' L2 R2 D 
63: U L U2 D R' B' R F2 U' B 
64: U L U2 D F2 R' B' R U' B 
65: U L D L F U L' U R' F2 
66: U L D L F R' U L' U F2 
67: U L D L F R' U2 F2 U' L' 
68: U L D L F' U2 F2 U L' R' 
69: U L D L F' U2 F2 R' U L' 
70: U L D B' U R2 B U' F R' 
71: U L D B' R2 U B U' F R' 
72: U L D B' R2 F U' R' U2 B 
73: U L D2 F U B R2 F' D' R 
74: U L R' U' R' F' L2 R2 F2 D 
75: U L F U' L2 D R' B' U2 B 
76: U L F U' R2 F' L2 R2 D R' 
77: U L B2 D2 F U' D' R' F' L2 
78: U L B' L2 F' D' B' L D2 L' 
79: U L2 U L' D B' U R2 F2 B 
80: U L2 U L' D B' U F2 R2 B 
81: U L2 U L' D B' U F2 B R2 
82: U L2 U L' D B' U B R2 F2 
83: U L2 U2 D F2 B' U' R U' B 
84: U L2 U2 L D F2 B' U2 R B 
85: U L2 U2 L D B' R F2 U2 B 
86: U L2 U2 F D F B' R U' B 
87: U L2 U' R' F L' U L' R D 
88: U L2 D F' U2 F2 L U L' R' 
89: U L2 D F' U2 F2 L R' U L' 
90: U L2 R2 F U' L2 D R B2 R2 
91: U L2 R2 F U' L2 R D B2 R2 
92: U L2 R2 F U' R' B2 U' F2 L2 
93: U L2 R2 F U' B2 R' U' F2 L2 
94: U L2 R2 F' U2 D F2 U R' B2 
95: U L2 R2 F' U' L2 D R' B2 R 
96: U L2 F U2 D B' R' F2 U' B 
97: U L2 F U' D R' U' L2 F2 L2 
98: U L2 F U' L2 D L U2 L' R' 
99: U L2 F U' L2 D B2 R B2 R2 
100: U L2 F U' B2 D R' U' F2 L2 
101: U L2 F D R' U2 L F2 U' L' 
102: U L2 F D R' U2 F2 L U' L' 
103: U L2 F D B2 D2 R' B2 U L' 
104: U L2 F D B' R2 F R U' B 
105: U L2 F R2 U2 D F2 U R B2 
106: U L2 F R2 U' D R B2 U' F2 
107: U L2 F B2 R2 U' D2 L2 R B2 
108: U L2 F' U2 D F2 R B2 R2 B2 
109: U L2 F' U' L2 D R2 B2 R B2 
110: U L2 F' D L R2 U2 L' F2 R' 
111: U L2 F' D L R2 B2 R D2 B2 
112: U L2 F' D L' D2 B2 L2 D2 L' 
113: U L' U2 D F2 R' B' R U2 B 
114: U L' U2 D F2 B' U R U B 
115: U L' U2 D F2 B' U2 R2 B R' 
116: U L' U2 D F2 B' U2 R' B R2 
117: U L' U' L2 U' D B' U2 R B 
118: U L' D F L2 R' B L2 F' B' 
119: U L' D F L2 B L2 B' R' F' 
120: U L' D F L2 B2 D2 L2 B2 R' 
121: U L' D F L' U2 L' R' F2 L2 
122: U L' D F R B' R2 F U2 B 
123: U L' D F R' F2 U2 L2 F2 L2 
124: U L' D F B2 L D2 L' R' B2 
125: U L' D F B' R2 F U2 R B 
126: U L' D F2 L2 F' L2 U2 R' F2 
127: U L' D F2 L2 F' L2 R' U2 F2 
128: U L' D F2 B L2 F' B' L2 R' 
129: U L' D F' U2 B2 R2 F2 B2 R' 
130: U L' D F' U2 B2 R' F2 R' B2 
131: U L' D F' L R U2 L' F2 R' 
132: U L' D F' L R B2 R D2 B2 
133: U L' D F' L2 F2 L2 U2 F2 R' 
134: U L' D F' L' U2 L' F2 L2 R2 
135: U L' D F' B2 L R2 D2 L' B2 
136: U L' D F' B2 R2 B2 U2 F2 R' 
137: U L' D B U2 D2 B D2 B2 R 
138: U L' D B U2 D2 B L' D2 B2 
139: U L' D B D2 F B D2 B2 R' 
140: U L' D B D2 F' B L D2 B2 
141: U L' D B' R2 F2 U2 F' R' B 
142: U L' D B' R2 F2 U2 F' B R' 
143: U L' D B' R' F R' F U2 B 
144: U L' D2 B D' F2 L2 F' L2 R' 
145: U L' D' B2 U2 D2 B' U2 R B 
146: U L' R F D R' D2 B2 D2 B 
147: U L' F U2 D R' F2 B' U2 B 
148: U L' F U2 D B' R' F2 U2 B 
149: U L' F U' L2 D R' B' U B 
150: U L' F U' L2 D B' U R' B 
151: U L' F U' L2 D B' U B R' 
152: U L' F U' L2 D B' R' U B 
153: U L' F D R' U2 F2 B' U2 B 
154: U L' F D R' F' U2 L2 F2 L2 
155: U L' F D R' B D2 B D2 B2 
156: U L' F D B D2 B D2 B2 R' 
157: U L' F' U2 D F2 B' U2 R' B 
158: U L' F' U2 D F2 B' U2 B R' 
159: U L' F' D B D2 B L D2 B2 
160: U R F L' D R' D2 B2 D2 B 
161: U R2 F2 L2 U' F' L2 D R' B2 
162: U R2 F2 L2 F' U' L2 D R' B2 
163: U R2 F' L B2 U' F' D2 B2 L2 
164: U R2 B2 R2 D F B2 D R' B2 
165: U F U2 L D R' F2 B' U B 
166: U F U2 L D B' R' F2 U B 
167: U F D L U2 R' F' U F' L' 
168: U F D B2 R B R2 U' F B 
169: U F D B2 R B R2 F U' B 
170: U F D B' U2 R2 F R U' B 
171: U F D2 B D' R B2 R2 F B2 
172: U F D' L B2 D2 R' B' U B 
173: U F D' L B2 D2 B' U R' B 
174: U F D' L B2 D2 B' U B R' 
175: U F D' L B2 D2 B' R' U B 
176: U F L U' L2 D B' U2 R' B 
177: U F L U' L2 D B' U2 B R' 
178: U F L D R B' R2 U F B 
179: U F L D R' B' U B U2 F2 
180: U F L D B' U R2 F R B 
181: U F L D B' U B U2 R' F2 
182: U F L D B' U B R' U2 F2 
183: U F L D B' R2 U F R B 
