1: U L D' F L2 U2 R D 
2: U2 L D' F L2 U' R D 
3: D2 L' F U B2 D2 L' D' 
4: D2 L' F U' R U2 B2 D 
5: D' L2 U L F R D L2 
6: D' L' F U' R U D L2 
7: L2 U D' L F R D L2 
8: L' D' F2 D R F' D L2 
9: L' F D' F D R D L2 
10: L' F B' D' R F D2 L2 
11: L' F B' D' R' D2 L2 B' 
12: F U2 R2 U' L' R' B D 
13: F L' R' U' R B' D B' 
14: F L' B2 D2 L' F' D' L 
15: F R' U' L' R B' D B' 
16: F B2 D2 L' R F' D' L 
17: U D' L F' L2 F2 R D L2 
18: U2 D F U' R U2 L' B' D 
19: U2 L D' F U' L2 R D F2 
20: U2 L D' F U' R U L2 D 
21: U2 L D' F L U' L R D 
22: U' D L F R B' L2 D L2 
23: U' D L' F R D2 F D' L2 
24: U' D F U' R U L' B' D 
25: U' D F L' U' R U B' D 
26: U' D' L2 U2 L F R D L2 
27: U' D' L' F2 R' F' R2 D L2 
28: U' L2 U2 D' L F R D L2 
29: D L2 U D2 L F R D L2 
30: D L' F U' R B U2 B2 D 
31: D L' F U' R B' D2 F2 D' 
32: D F U' R U L' U B' D 
33: D B' R2 D2 B' R D' L B 
34: D2 L' F U' R B2 D2 F2 D' 
35: D2 R2 D L' R2 F R D L2 
36: D' L F L2 U' R D2 F2 D' 
37: D' L2 F R F' L F D L2 
38: D' L' F2 D R F' D L2 F 
39: D' F U2 L' R2 B R' D L' 
40: D' F2 D' F2 L' F R D L2 
41: D' B2 U' B2 L' F R D L2 
42: D' B' D' R2 B' R D' L B' 
43: L U2 D' L2 F U2 L2 R D 
44: L U2 R D R B' U' D' B 
45: L D R2 U' B' D2 R' D F2 
46: L D R2 B' U' D2 R' D F2 
47: L D R2 B' D2 R' U' D F2 
48: L D' F D2 R2 D2 L2 R' D 
49: L D' F L2 R' B' R2 B D 
50: L D' F R' B2 R2 B2 L2 D 
51: L D' F R' B' R2 B L2 D 
52: L D' F' U2 R D2 R B2 D' 
53: L R D R' F L2 B D B' 
54: L R2 F' R2 D' F L2 R' D 
55: L F L2 D' F D R D L2 
56: L F L2 B' D' R F D2 L2 
57: L F L2 B' D' R' D2 L2 B' 
58: L F B' L2 D' R F D2 L2 
59: L F B' L2 D' R' D2 L2 B' 
60: L B2 D' F D2 L' D2 L' D 
61: L B' L2 F D' R F D2 L2 
62: L B' L2 F D' R' D2 L2 B' 
63: L B' R D' L2 R' F D B' 
64: L B' R D' R' F L2 D B' 
65: L2 U2 L2 D' L' F R D L2 
66: L2 D' L F U' R U D L2 
67: L2 D' F R F' L F D L2 
68: L2 F R D F' U L' U' F2 
69: L' R' D L2 U2 B U R B2 
70: L' R' D R D' R F D L2 
71: L' F U2 R B' D2 F D' L 
72: L' F D2 L D2 R B D L 
73: L' F D' R D B D L2 B' 
74: L' F D' R' F D R2 D L2 
75: L' F D' F R2 D R' D L2 
76: L' F D' F R' D R2 D L2 
77: L' F R D L' F' U L' F 
78: L' F R D L' F' U F L' 
79: L' F R D' R' D' F D' L2 
80: L' F B2 D2 L' F U D' L' 
81: L' F B2 D' F D' L' D' L' 
82: L' F B' D L2 B' L' B L 
83: L' F B' D2 L D' L U B 
84: L' F B' D' R U2 R2 D2 B' 
85: L' F B' D' R' D2 B L2 B2 
86: L' F B' D' R' F D2 B' L2 
87: L' F B' D' F D2 L B L 
88: L' F B' D' F R' D2 B' L2 
89: L' F B' R D2 F L D' L 
90: R D L' U F B2 D R' B2 
91: R D L' R' F B D L2 B' 
92: R D R' F U L' B D B' 
93: R B2 L D R B' U' D' B 
94: R2 D2 R2 D' L' F R D L2 
95: R2 F' L' R2 F R' B' D L 
96: R' U L' R F D' F D2 L2 
97: R' U' L' R F B' D L2 B' 
98: R' D L U2 B U R F2 B2 
99: R' D B' U' D B2 L R F' 
100: R' D B' U' D B2 L F' R 
101: R' B' R2 D2 B' R B' D' L 
102: F U D' R D L' B D B' 
103: F U L' D' R D B D B' 
104: F U L' B R' U R D B' 
105: F U2 L' R B2 D2 F D' L 
106: F U2 R B D F' U L' F' 
107: F U2 R2 U2 R' U L' B D 
108: F U' L' R2 U' B2 R' B' D 
109: F D' R U D L' B D B' 
110: F D' R F' L' F2 D L2 R' 
111: F D' F' L' F2 R D L2 R2 
112: F D' B2 D' L' R F' D' L 
113: F L R' U' R B' D F2 B' 
114: F L2 R' U' L R B' D B' 
115: F L2 R' U' R B' L D B' 
116: F L' U2 R B2 D2 F D' L 
117: F L' U' R2 U' B2 R' B' D 
118: F L' D2 L' F' D2 R D L 
119: F L' D' F' R' U' D2 B2 L 
120: F L' D' F' R' D R2 D L 
121: F L' B' D' F R' F' D2 B' 
122: F L' B' D' F' R' D2 B' L 
123: F R' U' L R B' L2 D B' 
124: F R' U' L2 R B' L D B' 
125: F B U L' B D2 R D' B' 
126: F B2 L U B2 L' B D B' 
127: F2 D2 F2 D L' F R D L2 
128: F' U2 D L' R' B' R2 F D 
129: F' D L R' F2 L2 B' R2 D 
130: F' L' R F2 B2 D2 F' D' L 
131: F' B2 L' R U2 F B2 D' L 
132: B2 U' D' B2 L' F R D L2 
133: B2 L D' F L' D2 L' R D' 
134: B2 L B2 D' F L' D2 L' D' 
135: B2 L2 F U' D2 R D' L' B' 
136: B2 R' D L B U R F2 B2 
137: B' U' D B2 L F' B U' R2 
138: B' U' F D F' B2 L F' B 
139: B' U' F L D F' B2 L B 
140: B' R2 U' D L F' B U R2 
141: B' R2 U' D L B U R2 F' 
142: B' R2 U' D L B U F' R2 
143: B' R2 D2 B' U' R D' L B 
144: U D L' U R2 B2 R' D2 B D' 
145: U D F' L F2 L2 U' R B' D 
146: U D B2 L' B2 D2 F L' D L' 
147: U D2 L' F B2 D2 L' U D' L' 
148: U D' L F R F2 L2 F2 D L2 
149: U D' L F R' F2 U' R2 F2 B2 
150: U D' L F2 D' R' F' L2 R2 D 
151: U D' L F2 R2 D' R' F' L2 D 
152: U D' L F' R' U' R' B2 R' F2 
153: U D' L F' R' U' F2 R' B2 R' 
154: U D' L F' B2 L2 F2 R' D L2 
155: U D' L' U F' R2 B2 R' F2 D 
156: U D' L' F2 R' B2 R2 F' D L2 
157: U D' F R2 U2 L' R' B D L' 
158: U D' F2 D2 F2 L' F R D L2 
159: U D' F2 R F2 U2 F L' D L' 
160: U D' B2 U2 B2 L' F R D L2 
161: U L U D' F U' L2 U2 R D 
162: U L U D' F L2 U2 R D F2 
163: U L U2 D' L2 U2 F L2 R D 
164: U L U2 D' F U2 L2 U2 R D 
165: U L D' L2 U2 L2 F L2 R D 
166: U L D' F U L2 U2 R D F2 
167: U L D' F L2 U2 F R F' D 
168: U L D' F L2 U2 F2 R F2 D 
169: U L D' F2 L2 U2 R D2 B D' 
170: U L D' B D2 L2 F B' R D 
171: U L F D' F L2 U' R F2 D 
172: U L F D' F L2 U' F2 R D 
173: U L B2 D' L2 R2 D2 L B' D' 
174: U L B2 D' F L U2 L R2 D 
175: U L B2 D' F L2 F2 R' F2 D 
176: U L' U R2 B2 U' R' D2 B D' 
177: U L' U F R2 B U' B R' D 
178: U L' F U R2 B U' B R' D 
179: U R' U' L R B2 D' F L2 D 
180: U F R2 U2 R' U' L' U2 B D 
181: U F' D L' F' R' F' B' R2 D 
182: U F' D F' R' F' L' B' R2 D 
183: U F' L' F2 R' U' R B' D B' 
184: U F' L' F2 B2 D2 L' F' D' L 
185: U B U' B' L' F U B2 D B' 
186: U B U' B' L' F B2 D L2 B' 
187: U B2 U2 D' B2 L' F R D L2 
188: U B2 U' F D2 L' R F' D' L 
189: U2 D L F R2 B' L2 R' D L2 
190: U2 D F U2 L' U R U2 B' D 
191: U2 D F U' R U' L' U' B' D 
192: U2 D F2 U2 F' U' L' R B' D 
193: U2 D F2 U' F' L' U' R B' D 
194: U2 D' L F D' L2 U' R F2 D 
195: U2 D' L F D' L2 U' F2 R D 
196: U2 D' L F2 R' D' F' L2 R2 D 
197: U2 D' L F' D' F2 L2 U2 R D 
198: U2 D' L' F R U2 B2 U2 D L2 
199: U2 D' L' F2 R' B R2 F' D L2 
200: U2 L D' F U' R2 U L2 R' D 
201: U2 L D' F L2 U' F R F' D 
202: U2 L D' F L2 U' F2 R F2 D 
203: U2 L D' F L' U' R U L' D 
204: U2 L F2 R F' L2 D L' U L' 
205: U2 L F' D' F L2 U2 F R D 
206: U2 L B' U2 B' D L' R2 B' D' 
207: U2 L2 D L2 D2 L' F R D L2 
208: U2 L2 D L2 F L' U' R B' D 
209: U2 L2 D' L' F' L2 F2 R D L2 
210: U2 L2 F2 R U F' U D F' L' 
211: U2 R U2 L F' L2 D L' U L' 
212: U2 R D L U' B' R F2 U' B 
213: U2 R' D2 R' U L' R' F' D L2 
214: U2 R' B' U' L' D' L2 F' R' B2 
215: U2 F U' D R U2 L' B' D R' 
216: U2 F2 U2 D F' U' L' R B' D 
217: U2 F2 U2 R U2 F' L' U D L' 
218: U2 F2 U2 R F' U L' D2 F2 D' 
219: U2 F2 U2 F2 D' L' F R D L2 
220: U2 F2 U' D F' L' U' R B' D 
221: U2 F2 D F' U' R U2 L' B' D 
222: U2 F' U2 B2 L' R U F D' L 
223: U2 F' U2 B2 R U L' F D' L 
224: U2 F' L' D R' F2 B' R2 D F2 
225: U2 B D F L' B2 D F' L B 
226: U' D L F L2 R D2 F D' L2 
227: U' D L F2 R F' B' L2 D L2 
228: U' D L F' R F2 B' L2 D L2 
229: U' D L2 U2 D2 L F R D L2 
230: U' D L' F L2 R B' L2 D L2 
