1: L R' F R' D F2 U2 B' D 
2: R' D' L' F2 B D F' D2 L 
3: R' F L' U' D' F B D' L 
4: R' F L' D' B U' F D' L 
5: F2 U D' F' B' U' L D' R 
6: U D F' B' D2 L D' R U L2 
7: U D' F L U L2 D2 R' F D 
8: U D' F B U2 B2 D' R U' B2 
9: U L D F' D2 L F2 B' D' R 
10: U R F R2 D R B' D L' R 
11: U F L U L2 D2 R' F D F' 
12: U F2 R2 D2 B' D F' L' D' R 
13: U F' D' F2 B D L' D R' D 
14: U B2 U' R U' B L' F2 R B2 
15: U B' L2 U' R U2 B' U' F' L 
16: U2 D R2 B' U2 R U' F D B' 
17: U2 L U F' L2 U L' U D2 L' 
18: U2 L' D' F B U2 L' B D' B' 
19: U2 L' D' B U2 L' F B D' B' 
20: U2 L' R' F' R2 U' D2 R2 B L' 
21: U2 R' F' L' R2 U' D2 R2 B L' 
22: U' D R2 F B' R2 D R U' B2 
23: U' D2 R F U' B R' F' L' B 
24: U' D' F B U2 L2 U L D' R' 
25: U' R F D2 L2 U' B L' R' B 
26: U' R F D2 L2 U' B L' B R' 
27: U' R F2 D2 L2 U' B L' R B 
28: U' R F' D2 L2 U' B L' B R 
29: U' R F' L D2 L2 U' B L' B 
30: U' R2 D2 B' U L R F' D F 
31: U' F R U' L F' D' F B2 D' 
32: U' F R2 B2 R' D L' F' B2 D2 
33: U' F2 D L2 B' R F L2 B2 D 
34: U' F2 D' L B U2 F2 L' F' D' 
35: U' F' U2 F' D' L U' B D' L2 
36: U' F' U' B2 D B2 L F' R2 D2 
37: U' F' L U2 F' D' L U' D' L2 
38: U' F' L D2 B' D' R U2 B2 D 
39: D L2 D' R U' B L' F2 R B2 
40: D L2 R U' D' B L' F2 R B2 
41: D R' D' L' D2 R2 B' U L' R2 
42: D R' D' L' R2 D2 B' U L' R2 
43: D2 L F' U L' U D F L' B 
44: D2 R U' F2 D2 B L' F2 R B2 
45: D2 R2 B' L2 F R' D F' B' R' 
46: D' L' U' F B U2 L2 U L D' 
47: D' R U L2 B' R F U F2 L 
48: D' R U B' L2 R F U F2 L 
49: D' R U B' R F L2 U F2 L 
50: L U2 R F L' U' D2 R2 B L' 
51: L D2 F' U L' U D F L' B 
52: L R2 D B' U F' R2 D2 L' D' 
53: L R' F U L2 R' U D B' D 
54: L R' F D' B' U2 F B2 D' L 
55: L R' F L2 R' U L2 D B' D 
56: L R' F L2 R' D F2 U B' D 
57: L R' F L' U' D' F D' L R2 
58: L R' F R' U L2 U D B' D 
59: L F D R' B2 D L' U' R2 B' 
60: L F D2 R' F' D F U' R2 B' 
61: L F B2 R U2 B2 D' F2 U B 
62: L F2 U D' F' B' U' L D' R2 
63: L F2 U R2 D' F' B' U' L D' 
64: L F2 D' B' U F' U2 B2 L D' 
65: L F' B2 U2 B2 L' D F2 U B 
66: L2 U F' L B R2 U D' L2 F 
67: L2 U2 L' R F U' D2 R2 B L' 
68: L2 R' F L2 R' U D B' D R 
69: L2 R' F R' D F2 U2 B' D R 
70: L2 B2 U F' L B R2 U D' L2 
71: L' U' D' F B U2 L2 U L D' 
72: L' U' R U' D' F2 B D' L' B 
73: L' U' R2 D' B L' D' L' U' L2 
74: L' R' D' L' F2 D F' D2 L R' 
75: L' R' D' B L' F2 D F' D2 L 
76: L' R' F L2 R' U D F' B' D 
77: L' R' F L2 R' D F' U B' D 
78: L' F B' R' B2 U2 D F B' D2 
79: R U L R F R' F2 D2 B' R 
80: R U L R F' D2 B2 L B R 
81: R U R2 F2 D2 L' B' L' R B 
82: R U F D B R2 D B2 L' R 
83: R U F D B' L2 U' F2 L R 
84: R U F D2 B' L U' R U2 L2 
85: R U F2 U' L' D2 B' U L' R2 
86: R U B' L R B L F' B' L 
87: R U B' R F L2 U F2 L F 
88: R U2 F' U F2 D2 B L' R B2 
89: R U' D2 F2 D2 B L' F2 R B2 
90: R U' F2 D2 F2 B L' F2 R B2 
91: R U' F2 D2 B L' F2 R F2 B2 
92: R U' F2 B L' F2 R2 F R' B2 
93: R U' B L' F2 R2 F' R' F2 B2 
94: R U' B R' D2 L' R' F R' B2 
95: R U' B R' D2 R' F L' R' B2 
96: R D L2 U' D' B L' F2 R B2 
97: R F2 U F2 L' D2 B' U L' R 
98: R F2 U F2 L' D2 B' R U L' 
99: R F2 B L' R2 B D' F B L 
100: R B L F2 R2 B' D' F B' L 
101: R B L' F2 R2 B D' F B L 
102: R B' U F' D2 B L' U2 R2 D2 
103: R B' U B' L2 F' B2 L' D2 L2 
104: R2 U2 B' R D' B U D2 R2 B' 
105: R2 F' D2 L F' D B U' F L2 
106: R2 B' U R D' B L' U F D2 
107: R2 B' L2 F R' D F2 U2 B' R 
108: R2 B' L2 F R' D F' B' R' F' 
109: R2 B' L2 F2 L' F' R' D F2 B' 
110: R2 B' R U D' B L' U F D2 
111: R' U F L' U2 R D' F D' R' 
112: R' U' F' L R2 F' U F' D2 L 
113: R' U' F' R2 F' U F' D2 L R' 
114: R' D' L' D F D' F B D' L 
115: R' D' L' R2 D2 B' U L' R2 F2 
116: R' D' L' R2 D2 B' U L' F2 R2 
117: R' D' L' R2 D2 B' U R2 F2 L' 
118: R' D' L' R2 D2 B' U F2 L' R2 
119: R' D' L' F2 U2 B L2 D' B L 
120: R' D' L' F2 D F' D' B D' L 
121: R' D' L' F2 L2 D2 F' D B L 
122: R' D' L' B D F D' F D' L 
123: R' F U D' B' U2 F D' L R 
124: R' F U2 L R' D F U2 B' D 
125: R' F U2 L2 R' U D F B' D 
126: R' F U2 L2 R' D F U B' D 
127: R' F U2 R' D F2 U2 F' B' D 
128: R' F L2 R' U D F' B' D R' 
129: R' F L2 R' U L' D F' B' D 
130: R' F L2 R' D F' U B' D R' 
131: R' F L' U2 R U' D' F B D' 
132: R' F L' U2 R D' F U' B D' 
133: R' F L' D' B2 U' F B' D' L 
134: R' F2 U' F' U' L D' F D' L 
135: F L' B' R' B2 U2 D F B' D2 
136: F2 U D F U R' F U B2 D 
137: F2 U2 L D R' F U2 D L B2 
138: F2 U2 R U' D' F' B' U' L D' 
139: F2 D F U F U R' F B2 D 
140: F2 D2 R D F' L' B U' L2 D' 
141: F2 D2 B U B' D F' L D' R 
142: F2 D' L U L' F' L' B L2 D' 
143: F2 L2 U L D' F' B L F' D' 
144: F2 L' R2 D' F B L U F' D' 
145: F2 R' U' D' F' L2 D F2 L' D2 
146: F' U D2 B2 L' R2 U L' B R 
147: F' U L' U D R' F D L' B 
148: F' U L' U R' D F D L' B 
149: F' U L' D2 B' R B U L' B 
150: F' L D R' U F' D' F2 D2 L2 
151: F' R U' F R2 U L' F D2 R 
152: F' R U' F R2 U F L' D2 R 
153: F' B' U B L' U F D2 L' B 
