1: U' B' U2 R U F L2 B2 
2: U' B' U2 R U F B2 L2 
3: U L2 U2 B' R' F' D' R2 F 
4: U2 D' B D R U' F R' B 
5: U2 R B' U' F L2 B2 R' B 
6: U2 R B' U' F B2 R' B L2 
7: U2 B' R U' F L2 B' R' B' 
8: U2 B' R U' F B' R' B' L2 
9: U2 B' R U' B' L2 F R' B' 
10: U' D2 B' L' U' F' L2 R B2 
11: U' D2 B' L' U' F' R B2 L2 
12: U' L' R2 U' L F' B L' D 
13: U' R2 U2 F U B L' D R' 
14: U' R2 U' B U' F L' D R' 
15: U' R2 B U F' L U2 D R2 
16: U' R2 B U F' L U' F2 D 
17: U' R2 B U F' L D' L2 D2 
18: U' R2 B U2 L U' F2 D F 
19: U' R' U R' F U' B L' D 
20: U' B U' B2 U2 R U F L2 
21: U' B U' B2 R U F U2 L2 
22: U' B L U' F2 R D F B2 
23: U' B' U R U F U B2 L' 
24: U' B' U R U2 B2 U' F L' 
25: U' B' U2 R U F L B2 L 
26: U' B' U2 R U F' L2 F2 B2 
27: U' B' U2 R U F' B2 L2 F2 
28: U' B' U2 R U B' L2 F B' 
29: U' B' U' R U F U' L2 B2 
30: U' B' U' R U F U' B2 L2 
31: U' B' U' R B2 U F U' L2 
32: U' B' U' R B' L2 B' U F 
33: U' B' L F2 R2 B2 D R' F 
34: U' B' L2 U2 R U L2 F B2 
35: U' B' L2 U' L2 R B2 U F 
36: U' B' L' U2 R U B2 L2 F 
37: U' B' L' U' L2 F2 R F B2 
38: U' B' L' U' R2 B2 L2 R' F 
39: U' B' L' U' F2 R F L2 B2 
40: U' B' L' U' F2 R F B2 L2 
41: U' B' L' F' U' R F L2 B2 
42: U' B' L' F' U' R F B2 L2 
43: D2 L2 R U B' R F' L2 D' 
44: D' R' F2 D F' U' B L D 
45: L' F' L2 U B L' R F R' 
46: R U L2 F' R2 U' R2 B' D' 
47: R U2 D B U D F R2 B 
48: R U2 D B D F U R2 B 
49: R U2 F2 B D F' U R2 B 
50: R U2 F' B D F2 U R2 B 
51: R U2 B U F2 D F' R2 B 
52: R U2 B U F' D F2 R2 B 
53: R U2 B2 D B U' D' F L2 
54: R U' D B R2 U D R2 F 
55: R U' D2 F R2 F B D F' 
56: R U' R2 U' B U' F L2 D 
57: R U' R2 B U F U D F2 
58: R U' R2 B U F U2 L2 D 
59: R U' R2 B U F D2 R2 D' 
60: R U' F2 B' D' F' U' L2 B2 
61: R U' F2 B' D' F' U' B2 L2 
62: R U' B' U2 F L2 F D' F' 
63: R U' B' U2 F2 D' F' U B2 
64: R U' B' U' F2 D' F' L2 B2 
65: R U' B' U' F2 D' F' B2 L2 
66: R U' B' D' L2 U' L2 F B2 
67: R U' B' D' L' U' F L2 B2 
68: R U' B' D' L' U' F B2 L2 
69: R U' B' L2 U2 L2 F2 D' F' 
70: R D B D F U R2 U2 B' 
71: R D2 L2 U F' B' L2 D' F2 
72: R F D F2 B' U' D' L2 B 
73: R F D B' U' F2 D' L2 B 
74: R F2 U' D B U D F' R2 
75: R F' B D F2 U R2 U2 B' 
76: R B D F2 U F' R2 U' B' 
77: R B' U2 F2 D' F' B U B 
78: R B' D' F D' B2 R2 D B' 
79: R2 U L2 F R' F2 U' B' D' 
80: R2 U F2 L2 F' R' U' B' D' 
81: R2 U' D2 R2 B L' U' F' D 
82: R2 U' D2 B L' U' F' D B2 
83: R2 U' R2 B U F L' D R' 
84: R2 U' B R U F L' R D 
85: R2 D B D R' F R2 U' B' 
86: R' U L2 R2 F' U' B' R2 D' 
87: R' U L2 F' U2 B2 D B D2 
88: R' U2 R2 U' L2 F' B' D' F2 
89: R' U2 F B U D2 R2 D' B 
90: R' U2 F B U' L2 D' F' D2 
91: R' U2 B U F D2 R2 D' B 
92: R' U' D R2 B U D F R2 
93: R' U' D F R2 B U D F 
94: R' U' D2 R2 B U2 F2 D F' 
95: R' U' R2 B U F' D R2 F2 
96: R' U' R2 B U F' D F2 R2 
97: R' U' R2 B U2 L F2 D F' 
98: R' U' F R2 U2 B L2 D F 
99: R' U' B R2 U' L2 D2 B' D' 
100: R' D B' D F B2 R2 D B' 
101: R' D2 F B R2 D' B2 D2 B 
102: R' F U B L2 D' F B2 D2 
103: R' F U2 B U D2 R2 D' B' 
104: R' F U2 B U' L2 D' F D2 
105: R' F B U D2 R2 U2 D' B' 
106: R' F B U' L2 U2 D' F D2 
107: R' F B D2 R2 D B2 D2 B 
108: R' F B L2 D' B2 U F D2 
109: R' F B L2 R2 U' L2 D B' 
110: R' F B R2 U2 D F2 U B' 
111: R' F B R2 U' D B' U' F2 
112: R' F B R2 D' B2 U' D2 B 
113: R' F B' D L2 U' F2 L2 B 
114: R' F B' D R2 B2 D R2 B 
115: R' F B' D B2 R2 D B' R2 
116: R' F' U B U2 D F2 R2 B' 
117: R' F' B U2 D F2 U R2 B' 
118: R' F' B U' L2 F2 D R2 B 
119: R' F' B' D F2 B2 R2 D B' 
120: R' B U2 F L2 D B2 U2 F 
121: R' B' D' F' U' D' L2 B R2 
122: F2 U2 R B' U' F L2 R' B 
123: F2 R U' D B U D F R2 
124: F2 R D B' D' F U' L2 B 
125: F2 R F D B' U' D' L2 B 
126: F' L U F' L D2 B L' F' 
127: B U2 L F' R D B2 U' F 
128: B2 U R2 F L2 D' R' U F 
129: B2 U2 L D F' B' L' D B' 
130: B' R U2 L F2 B' D' F' B' 
131: B' R U2 B' L2 F2 D' F' B' 
