1: R' F2 D F' B D' B2 D2 
2: D B R B' L2 U F' L2 D' 
3: R U L2 B2 U2 F' B D' F2 
4: R U F' B D2 B2 L2 D' F2 
5: R F B R2 U2 F2 D F2 B' 
6: R F2 U D' B' D' F' U' L2 
7: R F2 U' D' B' D2 B2 D F' 
8: R F2 D2 R2 F B D F2 B' 
9: R F2 D' B' U D' F' U2 L2 
10: R2 F2 R D F B D' B2 D2 
11: R' U D L2 R2 F' B' D' F2 
12: R' U' D R2 B D2 B2 D' F 
13: R' D R2 U L2 F' B' D' F2 
14: R' D F2 B' U R2 D F' D 
15: R' F D F B' U R2 D2 R2 
16: R' F D B' U F R2 D2 R2 
17: R' F2 D B D' B2 D F' D 
18: R' F' B' D F2 R2 B2 D B 
19: R' B U D R2 B' L2 D' L2 
20: R' B2 U2 L2 F B' D F2 B' 
21: R' B2 U2 F L2 B' D F' B' 
22: R' B2 U2 F B' U2 D F2 B' 
23: R' B2 U2 F B' U' L2 D B' 
24: U R F2 L2 U' F' D B D2 R' 
25: U R F2 B U F' R' B2 U' L2 
26: U R' U2 D B' U F2 R2 D2 R' 
27: U R' D L2 R2 F' B' D' F2 R' 
28: U R' D L2 F' B D L B2 D2 
29: U F B2 L2 R B2 D' F L R2 
30: U F' L' F2 L2 D' L F' R' D' 
31: U F' R F2 B D R' U F' B2 
32: U F' R F2 B D R' F' U B2 
33: U B R F2 U F' R' B2 U' L2 
34: U2 R U' F D' B U2 R2 D R 
35: U2 R' U D B' U F2 R2 D2 R' 
36: U2 R' B' L D2 B' D' F' B' D 
37: U2 F L2 D2 F' L' D' F' R' B2 
38: U' D2 F' B' L U' L2 R F' B2 
39: U' D2 B' L' F' L2 U' L2 R B2 
40: U' R2 D2 R D B' U R2 D2 R' 
41: U' R2 D' R D B D' L' B2 D2 
42: U' R2 D' R D B D' B2 D2 R 
43: U' R' D B' R U F2 R2 D2 R2 
44: U' R' D B' R' B2 D' B2 D2 R2 
45: U' R' B D' B2 D2 R B U' B2 
46: U' R' B' D2 R B' D' B' R2 D 
47: U' F R' D B R' D' L' B2 D2 
48: U' F R' D B R' D' B2 D2 R 
49: D R U' F R2 F B' L' B2 D 
50: D R U' F2 R2 B' L' F B2 D 
51: D R' U' F R2 U' B' L' B2 D 
52: D B R B' L2 F' U' L2 D' B 
53: D B R' D R2 U B' L2 D' L2 
54: D B R' D R2 B' U L2 D' L2 
55: D B' R' D L' F R2 B2 D B 
56: D2 L2 R U F' L B' L R D' 
57: D2 L' D' F' L2 U' B' L' R B2 
58: D2 R U B' L2 D' L F' U' L2 
59: D2 R' D' B' L' U' F R2 D L2 
60: D2 F2 U' B' L' U' D2 R F' L2 
61: D2 B' L' U' F' L2 B' U' R B2 
62: D2 B' L' F' L2 U' B' L2 R B2 
63: D' L R B' L U F' L2 R' D' 
64: D' L2 D2 B R U F' B' L2 D' 
65: D' L2 B R U F' B' L2 R' D' 
66: D' R U B' L2 F' U' R' D' L2 
67: D' R U B' L2 F' R' U' D' L2 
68: D' R U' R2 F B2 U2 L B' D 
69: D' R U' R2 B' L F L B2 D 
70: D' R' F2 B2 D F' U2 L B' D 
71: D' F' R' D2 F R U' B R2 D 
72: D' B R U F' D2 B' L2 R' D' 
73: D' B R F R2 U' L F D B' 
74: L F' U' B2 L2 U2 B L' R F 
75: L F' U' B2 L2 U2 B R F L' 
76: L2 U R' F' D B' U' F2 D2 R' 
77: L2 R U L2 U2 B' D2 B2 D F 
78: L2 R U L2 F' B' U' R2 D' L2 
79: L2 R U R2 F U2 R2 B2 D F 
80: L2 R U F U2 D' R2 F B2 D 
81: L2 R U F U2 R2 F B2 D F' 
82: L2 R U F' D2 B' L2 F' D' F' 
83: L2 R' U F' D B' U' F2 D2 R2 
84: L2 R' D2 F' U' D' F2 R2 F B' 
85: L2 R' F2 D' R2 D2 F' B' D F2 
86: L2 R' F2 D' F U D B' L2 D2 
87: L2 R' F2 D' F D B' U L2 D2 
88: L' F D2 F R' D F B' L D 
89: L' F2 L R D' B' U2 F2 D' F' 
90: R U L2 F B R2 F2 B2 D' F2 
91: R U L2 B2 U2 F' B U' R2 D' 
92: R U F D F2 B' L2 U2 F2 D' 
93: R U F D' F D2 L2 F' B' D' 
94: R U F D' F2 B D2 B2 L2 D' 
95: R U F2 D F' D L2 F' B' D' 
96: R U F2 D2 L2 F' B' U R2 D' 
97: R U F2 D2 L2 F' B' U2 D' F2 
98: R U F2 D2 F L2 F' B' D' F' 
99: R U F2 D2 F2 L2 F' B' D' F2 
100: R U F2 D2 F' L2 F' B' D' F 
101: R U F2 R2 F B D2 L2 D' F2 
102: R U F2 B2 R2 F B L2 D' F2 
103: R U F' B U2 F2 R2 D' B2 D2 
104: R U F' B D2 B2 L2 U' R2 D' 
105: R U F' B' D2 B2 D2 L2 D' F2 
106: R U F' B' L2 U2 F2 U R2 D' 
107: R U F' B' L2 U2 F2 U2 D' F2 
108: R U F' B' L2 U' R2 U' F2 D' 
109: R U F' B' L2 F U2 F2 D' F' 
110: R U F' B' L2 F2 U2 F2 D' F2 
111: R U F' B' L2 F' U2 F2 D' F 
112: R U B R2 F' D2 B2 L2 D' F' 
113: R U2 L2 F' B R2 B2 D' F2 B' 
114: R U2 F' U R2 F B' L2 B2 D 
115: R U2 B2 L2 F D' F2 U2 B' D 
116: R U2 B2 L2 F' B' D F2 U2 B 
117: R U' R2 D2 R2 B' D2 B2 D F 
118: R U' R2 D2 B' D2 F B2 D F' 
119: R U' R2 F B U' B2 L2 B2 D 
120: R U' R2 F B' L2 B2 U2 D F2 
121: R U' R2 B U' F B2 L2 B2 D 
122: R U' F2 R2 F B' L2 B2 D F2 
123: R U' F' R2 F B' L2 B2 D F 
124: R U' F' B' D2 F2 U' L2 B2 R2 
125: R U' B L2 F2 R2 D2 B2 D' F' 
126: R U' B2 L2 F B U' L2 B2 R2 
127: R U' B2 L2 F B' R2 F2 D F2 
128: R U' B' U D F2 B2 R2 D2 F' 
129: R U' B' D2 F2 U' L2 B2 R2 F 
130: R U' B' D2 F2 U' F' L2 B2 R2 
131: R U' B' D2 F2 B2 R2 F2 D F 
132: R F U' F D' B' D2 B2 D F' 
133: R F D' B R2 D R2 U R2 B' 
134: R F B U2 F2 L2 D F2 U2 B 
135: R F B D2 B2 R2 D B2 D2 B 
136: R F B R2 U2 F2 U L2 D B' 
137: R F B R2 D2 B2 D B2 D2 B' 
138: R F B R2 F U2 F2 D F B' 
